"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","adj_p_val"
"STAP1",1.90811482303891e-08,-0.427293841117034,0.024,0.297,0.000545491865610364,1.42961833664608e-07
"GRAP2",2.12251905984084e-08,0.468555876596377,0.402,0.041,0.0006067857488273,1.57811722464502e-07
"RPLP0",2.29941390024395e-08,0.540758989388242,0.984,0.959,0.00065735644580174,1.69668874154364e-07
"NFKBIA",3.00173947935578e-08,-0.662274944445252,0.961,0.986,0.000858137282358229,2.19826635555829e-07
"IFITM3",3.11802913155945e-08,-0.79721139098462,0.835,0.932,0.000891382168130216,2.26638833890963e-07
"PIK3IP1",3.24570765710393e-08,0.615517483273252,0.969,0.784,0.000927882905012873,2.34171796890313e-07
"AL390728.6",3.27118697173772e-08,-0.649737578700482,0.528,0.811,0.00093516693148038,2.34274714005334e-07
"SIGLEC7",3.47133123166975e-08,-0.392435897860874,0.024,0.284,0.000992384172509748,2.46793913842798e-07
"CCR1",3.57489670493972e-08,-0.352626466461418,0.008,0.243,0.00102199147000817,2.51675743716841e-07
"RPL41",3.59167642470646e-08,0.357665651876227,1,1,0.00102678845629508,2.51675743716841e-07
"RBM39",3.8024890877819e-08,-0.54078145504229,0.984,0.986,0.00108705558041509,2.64544597964255e-07
"SLC2A3",3.9815277793686e-08,0.605667958997987,0.866,0.5,0.0011382391615659,2.75036032418796e-07
"RPL36A",4.05718945882241e-08,0.642139571286104,0.953,0.878,0.00115986932248815,2.78288910767115e-07
"RPL36",4.35132289428985e-08,0.550274906350046,0.992,0.932,0.00124395618901958,2.96376818114567e-07
"IFITM2",4.38407691858816e-08,-0.522273405472888,1,0.986,0.00125331990948598,2.96534091576727e-07
"RPL10",4.70601644223953e-08,0.435296038976644,1,0.959,0.00134535598050744,3.16114483775263e-07
"RPS16",4.90728275821048e-08,0.675906370974132,0.961,0.851,0.00140289399491721,3.27376260718973e-07
"SERINC5",5.2308107158868e-08,0.388753758204948,0.992,0.932,0.00149538416745772,3.46585689610459e-07
"TOMM7",6.06256874328803e-08,0.738660810214082,0.795,0.486,0.00173316715233118,3.98982564592064e-07
